,cv,n_comp,feature_enc,rmse_train,rmse_test,r2_train,r2_test
0,0,5,NMF,511.3356722049191,531.1244788927847,0.04940090905042904,0.046757126865098586
1,0,5,AA,516.2184449681334,750.6897645069295,0.0403235854793782,-0.3473106520025415
2,0,5,SVD,512.4576263940808,530.704078325023,0.04731513899706041,0.0475116464946892
3,0,5,SC,511.88493961343636,530.2636983561329,0.048379792927289667,0.04830202442584963
4,0,10,NMF,474.6072678871965,504.3741366182789,0.11768088569650104,0.0947676670312193
5,0,10,AA,501.48607680446986,588.9661728382873,0.06771180919458297,-0.057055039048517164
6,0,10,SVD,482.32957032089934,513.0176368064064,0.10332473166198697,0.07925462765775837
7,0,10,SC,484.84694636199083,515.1061399285458,0.09864480122427488,0.07550625830967328
8,0,25,NMF,408.27538992305466,418.08324258800747,0.2409952295242903,0.24963942124272098
9,0,25,AA,477.285397597254,5.055912406748874e+27,0.11270210599030939,-9.0741674700717e+24
10,0,25,SVD,401.95825132908715,406.2094248080261,0.25273911232232316,0.2709501169938663
11,0,25,SC,400.89854618463056,405.1270145368697,0.2547091582271027,0.27289278753117385
12,0,50,NMF,333.97250623931865,341.3206112149952,0.37912807947805816,0.3874101966209288
13,0,50,AA,422.78404341487186,621.4028939407367,0.21402290279270908,-0.11527128485822313
14,0,50,SVD,336.82684254410316,342.85407871767495,0.3738217227263526,0.384657984990313
15,0,50,SC,335.55569438449254,341.0558479753937,0.3761848519791535,0.38788538404167117
16,0,75,NMF,311.76860807497957,325.85670653307926,0.4204062584862672,0.4151642496060285
17,0,75,AA,411.1033323798627,1.5474771344576537e+29,0.23573794028196626,-2.7773556075519403e+26
18,0,75,SVD,310.8486549533216,320.3512829211571,0.4221164982538026,0.42504518341761577
19,0,75,SC,308.5017304690318,317.2526993646965,0.42647955055499054,0.43060640834584074
20,0,100,NMF,304.03936760614533,323.9230489546677,0.434775310681906,0.41863470781113066
21,0,100,AA,387.21186210579947,2.0550532647065852e+27,0.2801534019023939,-3.6883347620842944e+24
22,0,100,SVD,300.65261262103746,316.60564315471095,0.4410714609118126,0.43176772126813767
23,0,100,SC,300.3351049906397,314.72847273871236,0.4416617237884942,0.4351367983711939
24,0,200,NMF,269.6220963586893,289.28434876057133,0.4987587730906954,0.4808029855066204
25,0,200,AA,335.9580733970255,6709.281750312805,0.37543680887494046,-11.041574558326428
26,0,200,SVD,269.00500092647746,286.4902818999848,0.4999059849688735,0.4858176749584583
27,0,200,SC,269.1036095983858,287.1485446578786,0.49972266641910046,0.48463624893207646
28,1,5,NMF,516.3027763699617,514.2990719381814,0.04708033000420497,0.050921548815484496
29,1,5,AA,530.9724641813368,535.1229910693087,0.020005065822127355,0.012493455134348297
30,1,5,SVD,517.6364211804511,513.1088584914977,0.04461887437997181,0.05311794775180889
31,1,5,SC,517.0991365641013,512.5400640633903,0.04561051940443894,0.054167590973672075
32,1,10,NMF,485.5726117901236,465.9477228124301,0.10379778269005424,0.14014827708472355
33,1,10,AA,528.3387320382402,542.3112523791269,0.024866041357263002,-0.0007716357104039506
34,1,10,SVD,492.3746280952123,478.1746936693565,0.09124356948530743,0.11758484036717731
35,1,10,SC,493.9827192043738,480.37934704491687,0.08827557915250461,0.11351641184913575
36,1,25,NMF,408.86525596728626,402.8128846219296,0.24537352379079647,0.2566561957551028
37,1,25,AA,479.1356911353716,9.843814106825075e+24,0.11567815325331476,-1.8165601215350428e+22
38,1,25,SVD,398.36229072969144,391.18515665993783,0.2647584324650324,0.2781138001862625
39,1,25,SC,397.81792027905266,390.7716768580948,0.2657631555343627,0.2788768285317159
40,1,50,NMF,336.4973941137242,334.32731126727066,0.3789400320335937,0.38303826687759546
41,1,50,AA,423.4036756292906,1.4612524915357142e+29,0.21854053605444856,-2.6965696170319512e+26
42,1,50,SVD,338.8921741900652,338.24176111399726,0.37452008090316613,0.3758146100590639
43,1,50,SC,336.6117585973558,337.91441552690605,0.37872895401699336,0.37641868784133126
44,1,75,NMF,314.9406731341813,310.6317862176073,0.4187264216913129,0.42676557155537154
45,1,75,AA,403.04595752582856,644.1800019337053,0.25611397339563713,-0.18875843235580736
46,1,75,SVD,315.64867582944277,318.63983493882193,0.41741968904217186,0.41198765945707005
47,1,75,SC,313.41441479359844,314.8323274777372,0.4215433765108514,0.41901396668026136
48,1,100,NMF,301.66145434348044,309.6713840883613,0.4432353520457164,0.4285378807331892
49,1,100,AA,388.98475151418285,1014.5246990230448,0.28206618672008965,-0.8721860150526655
50,1,100,SVD,302.74749236219594,306.3208285233251,0.4412308945107919,0.4347209369737699
51,1,100,SC,302.7379396424486,308.4884722824802,0.44124852558884486,0.4307208053501492
52,1,200,NMF,263.788428546486,283.7916099225043,0.5131361019466885,0.4762959602680653
53,1,200,AA,337.639738235594,9712.003512509073,0.3768316525449392,-16.922360265621126
54,1,200,SVD,266.61372358051875,289.82935816469904,0.5079215663395003,0.4651540059791939
55,1,200,SC,265.5452736030206,290.91098475287254,0.509893562320469,0.4631579913194842
56,2,5,NMF,526.5033264587369,470.336072735076,0.042919414833429426,0.07550495178617211
57,2,5,AA,542.0841084391609,508.8963204477902,0.014596585354885505,-0.0002892730985997183
58,2,5,SVD,527.9700292278915,471.150031348586,0.040253234632803614,0.07390503047189767
59,2,5,SC,527.5209600233432,470.4476206136798,0.04106955505372134,0.07528569269169472
60,2,10,NMF,492.1138649739989,433.9948147634911,0.10543276331073625,0.14693751881259232
61,2,10,AA,525.7967840025015,565.8913425775298,0.04420377151927801,-0.11231898713982158
62,2,10,SVD,500.5249569621166,444.5465826573102,0.09014303495133058,0.12619690856977117
63,2,10,SC,502.1513130255607,446.1148182716132,0.08718663613166944,0.12311437643179424
64,2,25,NMF,416.6868689110091,375.86595539009153,0.24254436337387564,0.2611959092790528
65,2,25,AA,482.09829313858694,5.899608940285498e+27,0.12363912378615316,-1.1596302235495573e+25
66,2,25,SVD,404.30533690691044,369.0744107238031,0.2650515789985999,0.27454540504958724
67,2,25,SC,404.24052938583515,368.55218622620254,0.26516938645978183,0.2755718922575111
68,2,50,NMF,339.9946139249427,300.5954849151559,0.38195595792827564,0.4091479403153777
69,2,50,AA,445.10954036756294,3.8727364870008616e+28,0.19087747797620547,-7.612271124451866e+25
70,2,50,SVD,346.0506997456841,312.36828193291933,0.3709471724755432,0.386007268830715
71,2,50,SC,343.9237066009809,312.4572402125932,0.3748136320804045,0.38583241197021967
72,2,75,NMF,322.81866399207576,302.7708369142876,0.4131784923101707,0.40487205703127305
73,2,75,AA,413.8572609768307,4.813530364231967e+28,0.24768803993077537,-9.461500497466488e+25
74,2,75,SVD,318.98680776905104,300.02964297670525,0.42014406120956127,0.4102601621935069
75,2,75,SC,317.1851001120285,296.4521380753813,0.4234192151013332,0.4172921245667133
76,2,100,NMF,307.7909720577378,284.648494130788,0.440495911721283,0.44049342893233057
77,2,100,AA,400.9645631975072,2464.573151119469,0.27112445545734987,-3.844377895407761
78,2,100,SVD,306.90796829416064,290.86262727720793,0.4421010407229038,0.42827889626976234
79,2,100,SC,306.89275242396735,290.564644714095,0.4421287002137685,0.42886461235666595
80,2,200,NMF,270.1301576243474,268.9109077650147,0.508955943224206,0.47142731112722225
81,2,200,AA,354.416841595785,17968.25066172754,0.3557391547193465,-34.31848761935949
82,2,200,SVD,267.8426478849162,280.71683156413155,0.5131141907602939,0.4482215254676115
83,2,200,SC,269.316047220009,279.9324991792789,0.510435837506005,0.44976321331165325
84,3,5,NMF,513.4223786875882,526.0711210696567,0.041821481102908065,0.07032095868205335
85,3,5,AA,522.4685542266651,566.6734549565055,0.02493898544334494,-0.001431960897424478
86,3,5,SVD,513.8275447722568,526.956435644039,0.04106533673711821,0.06875642040612018
87,3,5,SC,513.2714201466622,526.3634433121712,0.04210320865738104,0.06980436339428264
88,3,10,NMF,481.4924193729992,498.2894234986081,0.10141101672600128,0.11941709973522796
89,3,10,AA,488.2456296628254,513.2641146901015,0.0888077853478777,0.0929536502255246
90,3,10,SVD,488.60088878451955,500.93052581720843,0.08814478024101091,0.11474971281121948
91,3,10,SC,490.00794097306994,502.84614608494337,0.08551885811918514,0.11136440625720079
92,3,25,NMF,374.9556884701687,404.1372675972167,0.3002360217551012,0.2858038914269039
93,3,25,AA,475.5207011137729,5.982144607821366e+27,0.11255578250641529,-1.0571715954900898e+25
94,3,25,SVD,392.48813054517893,415.94063427713377,0.26751596498035646,0.2649448437053763
95,3,25,SC,392.74249134828955,415.5969488393007,0.26704126214754853,0.2655522086329738
96,3,50,NMF,332.98518101762585,345.59167794529765,0.3785638086564731,0.38926634256910064
97,3,50,AA,441.4059728975973,2.4144161908676927e+28,0.17622266013319343,-4.266784546364018e+25
98,3,50,SVD,337.26929038337363,354.92660672470697,0.37056855613678663,0.3727695471913831
99,3,50,SC,335.34595534201793,352.52813694090867,0.3741579951596432,0.37700815106056684
100,3,75,NMF,316.9092204083587,334.11079189715093,0.4085656955352851,0.40955549874444663
101,3,75,AA,432.74613972080544,1353.997402469559,0.19238414134568904,-1.392800054326143
102,3,75,SVD,311.4334244781123,332.05285062686534,0.41878494240106867,0.4131923166396346
103,3,75,SC,307.48071579781515,331.492567575426,0.42616171580662243,0.41418245540465504
104,3,100,NMF,300.98623493226626,324.8277296873787,0.4382820913786106,0.4259606349133511
105,3,100,AA,398.3033872978808,1811.62860205082,0.2566631967068864,-2.2015312654955075
106,3,100,SVD,298.88807159230515,322.8036553980665,0.44219780507739237,0.4295376026834463
107,3,100,SC,298.2502145516229,322.9888508045647,0.4433882107548218,0.42921032319389807
108,3,200,NMF,266.4576588048547,299.6759187058623,0.5027213158977278,0.47040920961017463
109,3,200,AA,347.4304359754357,5026.298013542965,0.35160523891912376,-7.882532668031013
110,3,200,SVD,264.0985856411738,302.29332199995594,0.5071239545901114,0.465783703879604
111,3,200,SC,264.1758317197067,300.8022359856664,0.5069797934935335,0.46841876853297004
112,4,5,NMF,518.2117615183937,504.5476821124264,0.04769501085413497,0.05135404181597192
113,4,5,AA,534.9467758451116,558.1943087711844,0.0169414872558572,-0.049511857194735054
114,4,5,SVD,518.9417809824095,506.39456745972393,0.04635347206752227,0.04788154480120477
115,4,5,SC,518.4758117683657,505.48549527933926,0.04720977221405309,0.04959077403799139
116,4,10,NMF,488.5894289175079,466.2816969582644,0.10213124179437083,0.12330139870490342
117,4,10,AA,510.9064126324879,520.2056508947227,0.061119870550709665,0.021914071471628604
118,4,10,SVD,493.6805259704497,466.2042009432198,0.0927754581480551,0.12344710600681708
119,4,10,SC,495.72671545442205,468.60597848098547,0.0890152261366951,0.1189313057476239
120,4,25,NMF,416.8079369236811,384.16326370974696,0.23404232145370218,0.2776997292401976
121,4,25,AA,489.2636320270925,593.6071290301833,0.10089227534738432,-0.11609471942481275
122,4,25,SVD,409.3366184411601,372.4443997552499,0.2477721793896841,0.29973343055143453
123,4,25,SC,408.6936864156195,371.8958177128613,0.24895367973581672,0.30076486951289294
124,4,50,NMF,336.2931565497673,307.6240579012823,0.3820023500439451,0.421608047139548
125,4,50,AA,451.2119781427719,889.8291692428292,0.17081886237256894,-0.6730487024383285
126,4,50,SVD,344.9111440461592,320.924869426727,0.3661652867068186,0.3965999824084745
127,4,50,SC,342.77620571627085,319.1749614540516,0.37008861028618756,0.39989014344642104
128,4,75,NMF,326.4016933373204,308.0761034958922,0.40017964833521824,0.42075811512827377
129,4,75,AA,419.1435840670515,941.9822296311094,0.2297501602318135,-0.7711064117456627
130,4,75,SVD,314.3297090260464,296.50797092143495,0.42236403653750887,0.4425084126711144
131,4,75,SC,313.44029073521256,295.372126562966,0.4239984986217289,0.4446440168924566
132,4,100,NMF,309.1148927985639,296.6455744005825,0.43194717586333087,0.442249691862451
133,4,100,AA,400.6256616288042,1813.0477479366896,0.2637800901486649,-2.4088758685280163
134,4,100,SVD,306.915658968985,297.1600548410884,0.4359886536987042,0.44128237042236973
135,4,100,SC,306.5123474546972,296.5406305169905,0.4367298093338269,0.4424470063969046
136,4,200,NMF,266.87202885744824,282.90577219682626,0.509575846368731,0.46808314287003483
137,4,200,AA,342.2837065744945,6508.5637494122375,0.37099366382740673,-11.23734230353119
138,4,200,SVD,268.1362872541522,283.6109347116678,0.5072525498553075,0.4667573027298788
139,4,200,SC,268.741097318036,286.20433275662856,0.5061411052990618,0.46188121933769277
